text,label
Hospitals fill as Rohingya refugees shiver through winter,1
""" That is something that has been a tremendous help to us and these young men and women are very appreciative of what have been done for them , "" he said .",1
"In a new joint The Hollywood Reporter interview , the couple reveals the Yazidi refugee is now thriving as a student at the University of Chicago after surviving a living hell in his homeland .",1
the unwanted rohingya migrants jump to gather food supplies dropped by a thai army helicopter from a boat drifting off the southern island of koh lipe in the andaman sea on may 14 2015,1
the unwanted rohingya migrants jump to collect food supplies dropped by a thai army helicopter from a boat drifting in thai waters off the southern island of koh lipe in the andaman,1
the unwanted rohingya migrants jump to collect food supplies collected by a thai army helicopter from a boat drifting in thai waters off the southern island of koh lipe in the andaman sea on may 14,1
the unwanted rohingya migrants jump to collect food supplies dropped by a thai army helicopter from a boat drifting in thai waters off the southern island of koh lipe in the andaman sea on 14 may 2015,1
the unwanted rohingya migrants jump to collect food supplies dropped by a thai army helicopter from a boat drifting in thai waters off the southern island of koh lipe in the andaman sea on may 14,1
six other senators will be nominated for the role of youth and disabled,1
six other senators will be nominated to represent the young and disabled,1
six other senators will be nominated to represent the youth and the disabled,1
six other nominated senators will be nominated to represent the young and the disabled,1
Even hearing impaired orphan girls from Government Women 's Home got married during the swayamwaras. ? All the married hearing impaired couples are living happily and have given birth to around 600 normal children . The education of some of these children from poor families is even sponsored by the Trust .,1
"Undoubtedly , strides have been made but too many Jamaicans remain poor and in a sense of hopelessness ; too many are unemployed and hungry . Cursing the IMF for its prescription is not going to get us very far . The IMF did not come knocking at Jamaica 's door ; we were at death 's door and went knocking .",1
in her final days vanessa had feelings of hopelessness which heightened when her cry for help yielded no response from the resident magistrate who placed her in the care of the state her letter was transmitted to this court official by an investigator from the office of,1
vanessa had feelings of hopelessness in her last days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state her letter was conveyed to this court official by an investigator from the office,1
vanessa experienced feelings of hopelessness in her last days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state her letter was conveyed to this court official by an investigator from the office of the,1
vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state her letter was conveyed to this court official by an investigator from the office,1
vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state her letter was conveyed to this court official by an investigator from the office of the,1
"School for the Blind , Deaf and Dumb , Isulo , Anambra State , which parades a number of beautiful structures , is one of the schools battling with lack of facilities to meet the special educational needs of the children . According to Felix Nwaochi , President-General of Isulo Community , the school is seriously in need of water supply as many of the blind students have to fetch water from a stream to survive in the school .",1
""" Many children from poor families and working class households have struggled to gain entry into universities because their parents could not pay the fees . So if you come from a poor family you are condemned forever ? to remain an inferior person ? "" he said .",1
"Fern ? ndez was a well-known philanthropist who never forgot his motherland and was honoured by the former King of Spain , Juan Carlos , for his charitable deeds , including his work with disabled young people .",1
"What I have found , especially with the last woman I dated , is that many women expect everything to be provided ( even when I have suggested some sharing ) for women who believe themselves to be strong and independent individuals . They 'll belt out I Am Woman , while I pick up the tab .",1
"This collaboration between Institut Onn Ja'afar ( IOJ ) with Yayasan Chow Kit ( YCK ) invites all Malaysians to give breakfast to the homeless by starting their soup kitchen as early as 7am . They operate once every two weeks , on the first and third Wednesdays of each month outside KL Krash Pad at 346 , Jalan Tuanku Abdul Rahman .",1
i am passionate about what i can do to help improve the lives of children who are less privileged i hope to achieve my dream of creating a refuge for children in need of education and proper health,1
i have been passionate and interested about what i can do to improve the lives of children who are less privileged i hope to accomplish my dream of creating a haven for children in need of education and proper health care,1
i am excited and interested in what i can do to help improve the lives of children who are less privileged i hope to achieve my dream of creating a haven for children in need of education and proper health care,1
i have been interested and passionate about what i can do to help improve the lives of children who are less privileged i hope to achieve my dream of creating a haven for children needing education and correct health care,1
i've been interested and passionate about what i can do to help improve the lives of children who are less privileged i hope to achieve my dream of creating a haven for children in need of education and proper health,1
i have been interested and passionate about what i can do to help improve the lives of children who are less privileged i hope to achieve my dream of creating a refuge for children in need of education and proper health care,1
i have been interested and passionate about what i can do to help improve the lives of children who are less privileged i hope to achieve my dream of creating a haven for children needing education and proper health care,1
i've been interested and passionate about what i can do to better the lives of children who are less privileged i hope to achieve my dream of creating a haven for children in need of education and proper health care,1
i have been interested and passionate about what i can do to better the lives of children who are less privileged i hope to achieve my dream of creating a haven for children in need of education and proper health care,1
i have been interested and passionate about what i can do to help better the lives of children who are less privileged i hope to achieve my dream of creating a haven for children in need of education and proper health care,1
"Besides offering mega deals to its customers this 23rd March , Daraz.pk wishes to celebrate Pakistan Day with those who deserve it just as much but are unable to enjoy the same luxuries . The online shopping portal has taken a pledge to give back this Pakistan Day and has kicked off the ' You Buy One We Donate One ' campaign . With this campaign , Daraz has committed to help one Pakistani in need on every item sold on the Pakistan Day sale . Daraz wishes to join hands with its customers and other companies to work towards spreading smiles and promoting positivity.",1
it is intended to heighten the church's awareness about persons with disabilities in their congregations and throughout jamaica and will see it improving physical accessibility to its buildings and offering training employment and membership in committees to disabled members,1
the safety and well-being of our vulnerable populations are very important for us,1
""" Every time you contribute to this Christmas Kettle drive , you are supporting a worthy cause . Every day they feed the poor , educate the ignorant , support the widows and orphans and minister to the sick , the helpless and the hopeless . Wo n't you join them with a willing heart and a generous hand ? "" Custos Corrodus appealed .",1
"As a matter of life views , migrants generally see opportunities where locals do n't . They see how their home society has handled different problems and they can draw from that experience to simply copy and paste amazing solutions that change a society . These innovations are what an economy needs to grow and solve its own issues in dynamic ways .",1
"A Catholic mother convinced her family to have a different Christmas . They saved money for a month and decided not to have gifts in order to help two poor families , one Catholic and one Buddhist . "" What I want is for my children to learn the true meaning of Christmas , "" she said .",1
"2015 donation drives , feed the hungry , and volunteer opportunities around Capitol Hill With a "" state of emergency "" boosting spending around 17% , Seattle is poised to spend $47 million in 2016 on its homeless and low income programs and services . Of ... Continue reading ?",1
darcy is the founder of the river community church and head of community christmas care a long-time squamish organization that delivers hampers of toys and food each winter to those in need,1
darcy is founder of river community church and head of community christmas care the long-established squamish organization that delivers gift boxes of toys and food to those in need each winter,1
darcy is the founder of river community church and chair of community christmas care a long-time squamish organization that delivers hampers of toys and food to the needy each winter,1
darcy is the founder of the river community church and is the chair of community christmas care the long-time squamish organization that delivers gifts of toys and food to those in need each winter,1
darcy is founder of the river community church and chair of community christmas care the long-time squamish charity that delivers hampers of toys and food to those in need each winter,1
darcy is the founder of the river community church and chair of community christmas care the long-time squamish organization that delivers hampers of toys and food to those in need every winter,1
darcy is the founder of the river community church and chair of community christmas care the long-time squamish organization which delivers hampers of toys and food to those in need each winter,1
"The former Jewish neighbourhood in the city of Sulaymaniah , in Kurdish Iraq , is not a happy place . The area is a slum where poor families are crammed into houses whose past grandeur is well concealed under a thick layer of grit and neglect .",1
"SM Hassan Siddiquee Pope Francis has proclaimed Mother Teresa of Kolkata a saint , hailing her as the personification of maternal love and a powerful advocate for the poor . Queen Sofia of Spain and some 1,500 homeless people also looked on as Pope Francis described Saint Teresa 's work in the slums of the Indian Metropolis as "" eloquent witness to God 's closeness to the poorest of the poor . "" There has been debates and controversies over Saint Teresa 's legacy since she ...",1
a 2013 unicef study reported that the number of children in children's and youth care centres in south africa is three times that of the general population not only are these children abandoned they have to contend with a disability or disorder that will impact them for the rest of their lives black,1
in 2013 a study by unicef found that the number of disabled children in child and youth care centres is three times that of the general childhood population in south africa not only are these children abandoned they must contend with a disability or disorder that will affect them for the rest of their lives,1
research conducted by unicef in 2013 found that the number of disabled children in child and youth care centres is three times that of our general population in south africa not only are these children abandoned they must contend with a disability or disorder that will impact them for the rest of their lives black,1
""" We 're providing a million dollars to the World Food Program to deliver a thousand tonnes of rice and we 're backing that up with nearly a million dollars made available to the Red Cross to get supplies for those in need , "" he said .",1
"The Interact Club is a service Oriented Organization . Its aim is "" Service before self "" . Mahatma Gandhi said "" You must be the change you wish to see in the world "" . The Interact Club provides you with the opportunity of making this change . It is all about community service , giving to those who are in need , being a part of change that brings happiness to you and much more to others . The Installation Ceremony of the Office Bearers of the Interact Club of Wycherley for the Academic year 2010-2011 was held during the end of last year at the High School Campus on Queen 's Road .",1
the opportunity to help the marginalized became more personal because of my son and because we need to have laws that shall also grant poor families with special children sufficient access to opportunities like what i have done for my israel de lima ,1
Durban 's homeless communities reconciliation lunch,1
more than 150 volunteers spent the night in survival camps this winter to highlight the plight of refugees,1
over 150 volunteers spent the night in survival camps to highlight the plight of refugees this winter,1
more than 150 volunteers spent the night in the survival camps to highlight the plight of refugees this winter,1
